Episode String,Season,Episode,Shoe Name,Shoe Thumbnail,id
season-1-episode-1,1,1,Nike Air Pegasus 92 Lite,,shoe_0
season-1-episode-1,1,1,Nike Tanjun,,shoe_1
season-1-episode-2,1,2,Jordan Zoom Zero Gravity,https://shoesoflasso.com/wp-content/uploads/2021/10/Jordan-Zoom-Zero-Gravity-Grey-Fog-Obsidian.png,shoe_2
season-1-episode-2,1,2,Jordan React Havoc Paris Saint-Germain (PSG),https://shoesoflasso.com/wp-content/uploads/2021/10/Paris-Saint-Germain-x-Jordan-React-Havoc.png,shoe_3
season-1-episode-3,1,3,Nike Tanjun in Midnight Navy/Game Royal/White,https://shoesoflasso.com/wp-content/uploads/2021/10/tanjun-mens-shoe-profile-1-1024x483.jpeg,shoe_4
season-1-episode-5,1,5,Nike Air Huarache Premium ‘Varsity Jacket’ in Red,https://shoesoflasso.com/wp-content/uploads/2021/10/18-10-2018_nike_airhuaracherunpremium_redsailblue_purple_704830-602_mg_7-copy.png,shoe_5
season-1-episode-6,1,6,Nike Air Zoom Pegasus Lite Total Orange 92,,shoe_6
season-1-episode-6,1,6,Odyssey React 2 Flyknit ‘Black Racer Blue’,https://shoesoflasso.com/wp-content/uploads/2021/11/AH1015_011.png.png,shoe_7
season-1-episode-7,1,7,Nike Air Huarache Premium ‘Varsity Jacket’ in Red,https://shoesoflasso.com/wp-content/uploads/2021/10/18-10-2018_nike_airhuaracherunpremium_redsailblue_purple_704830-602_mg_7-copy.png,shoe_8
season-1-episode-8,1,8,Eric Koston Air Jordan 1 Low ‘Powder Blue’,https://shoesoflasso.com/wp-content/uploads/2021/10/Eric-Conston-Air-Jordan-1-low-1024x454.jpeg,shoe_9
season-1-episode-9,1,9,Eric Koston Air Jordan 1 Low ‘Powder Blue’,https://shoesoflasso.com/wp-content/uploads/2021/10/Eric-Conston-Air-Jordan-1-low-1024x454.jpeg,shoe_10
